,Rank,Name,Year,id,slug,metacritic,released,tba,updated,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,esrb_rating
0,1,Wii Sports,2006,25057,wii-sports,76,11/19/2006,FALSE,2019-09-23T18:18:43,4.19,4,55,0,174,148,1,175,
1,2,Super Mario Bros.,1985,25080,super-mario-bros,,9/13/1985,FALSE,2020-01-21T02:53:56,4.27,4,30,0,498,194,17,505,
2,201,Super Mario Bros.,1999,25080,super-mario-bros,,9/13/1985,FALSE,2020-01-21T02:53:56,4.27,4,30,0,498,194,17,505,
3,3,Mario Kart Wii,2008,24761,mario-kart-wii,82,4/27/2008,FALSE,2019-09-17T08:26:59,4.26,4,12,0,204,413,10,204,
4,4,Wii Sports Resort,2009,26002,wii-sports-resort,80,7/26/2009,FALSE,2019-09-17T12:33:27,4.17,4,2,0,89,419,1,90,Everyone
5,7,New Super Mario Bros.,2006,24933,new-super-mario-bros,89,5/15/2006,FALSE,2020-11-01T04:13:24,4.13,4,25,0,179,136,19,180,
6,8,Wii Play,2006,24901,wii-play,,2/12/2007,FALSE,2019-09-12T06:38:25,3.36,4,0,0,46,96,0,47,
7,9,New Super Mario Bros. Wii,2009,24493,new-super-mario-bros-wii,87,11/15/2009,FALSE,2019-09-17T08:22:30,3.99,4,12,0,173,154,17,174,
8,10,Duck Hunt,1984,286110,duck-hunt,,1/20/2019,FALSE,2019-08-28T23:18:26,0,0,0,0,0,10,0,0,
9,12,Mario Kart DS,2005,23943,mario-kart-ds,91,11/14/2005,FALSE,2020-11-01T04:11:14,4.23,4,5,0,182,218,10,182,
10,14,Wii Fit,2007,25482,wii-fit,,5/21/2008,FALSE,2019-09-12T06:38:25,3.81,4,0,0,36,137,0,36,
11,15,Wii Fit Plus,2009,26083,wii-fit-plus,,10/4/2009,FALSE,2019-09-12T06:38:25,3.59,4,0,0,16,63,0,17,
12,16,Kinect Adventures!,2010,29089,kinect-adventures,61,11/4/2010,FALSE,2019-09-12T06:40:36,3.14,4,0,0,22,175,0,22,Everyone
13,17,Grand Theft Auto V,2013,3498,grand-theft-auto-v,97,9/17/2013,FALSE,2020-09-23T07:10:53,4.48,5,69,369,4289,426,9,4334,Mature
14,24,Grand Theft Auto V,2013,3498,grand-theft-auto-v,97,9/17/2013,FALSE,2020-09-23T07:10:53,4.48,5,69,369,4289,426,9,4334,Mature
15,45,Grand Theft Auto V,2014,3498,grand-theft-auto-v,97,9/17/2013,FALSE,2020-09-23T07:10:53,4.48,5,69,369,4289,426,9,4334,Mature
16,198,Grand Theft Auto V,2014,3498,grand-theft-auto-v,97,9/17/2013,FALSE,2020-09-23T07:10:53,4.48,5,69,369,4289,426,9,4334,Mature
17,1898,Grand Theft Auto V,2015,3498,grand-theft-auto-v,97,9/17/2013,FALSE,2020-09-23T07:10:53,4.48,5,69,369,4289,426,9,4334,Mature
18,18,Grand Theft Auto: San Andreas,2004,416,grand-theft-auto-san-andreas,93,10/26/2004,FALSE,2020-08-14T02:21:58,4.5,5,2,77,2183,486,9,2188,Mature
19,875,Grand Theft Auto: San Andreas,2005,416,grand-theft-auto-san-andreas,93,10/26/2004,FALSE,2020-08-14T02:21:58,4.5,5,2,77,2183,486,9,2188,Mature
20,2122,Grand Theft Auto: San Andreas,2005,416,grand-theft-auto-san-andreas,93,10/26/2004,FALSE,2020-08-14T02:21:58,4.5,5,2,77,2183,486,9,2188,Mature
21,9829,Grand Theft Auto: San Andreas,2008,416,grand-theft-auto-san-andreas,93,10/26/2004,FALSE,2020-08-14T02:21:58,4.5,5,2,77,2183,486,9,2188,Mature
22,19,Super Mario World,1990,24899,super-mario-world,,11/21/1990,FALSE,2019-09-22T13:06:33,4.41,5,6,0,520,219,17,525,
23,165,Super Mario World,2001,24899,super-mario-world,,11/21/1990,FALSE,2019-09-22T13:06:33,4.41,5,6,0,520,219,17,525,
24,22,Super Mario Land,1989,27058,super-mario-land,,4/21/1989,FALSE,2019-09-17T11:21:31,3.92,4,8,0,94,181,4,97,
25,23,Super Mario Bros. 3,1988,24030,super-mario-bros-3,,10/23/1988,FALSE,2019-10-05T21:33:24,4.38,5,25,0,396,161,17,402,
26,183,Super Mario Bros. 3,2003,24030,super-mario-bros-3,,10/23/1988,FALSE,2019-10-05T21:33:24,4.38,5,25,0,396,161,17,402,
27,25,Grand Theft Auto: Vice City,2002,430,grand-theft-auto-vice-city,94,10/27/2002,FALSE,2020-07-04T11:17:33,4.43,5,2,30,1829,382,9,1835,Mature
28,13734,Grand Theft Auto: Vice City,2003,430,grand-theft-auto-vice-city,94,10/27/2002,FALSE,2020-07-04T11:17:33,4.43,5,2,30,1829,382,9,1835,Mature
29,28,Brain Age 2: More Training in Minutes a Day,2005,25197,brain-age-2-more-training-in-minutes-a-day,,8/20/2007,FALSE,2019-09-12T06:36:56,0,3,0,0,5,74,0,5,
30,29,Gran Turismo 3: A-Spec,2001,311655,gran-turismo-3-a-spec,,4/28/2001,FALSE,2019-09-12T06:38:39,4.19,4,0,0,21,16,7,21,
31,30,Call of Duty: Modern Warfare 3,2011,11276,call-of-duty-modern-warfare-3,85,11/7/2011,FALSE,2019-10-22T14:23:02,3.7,4,8,228,1006,647,24,1007,
32,38,Call of Duty: Modern Warfare 3,2011,11276,call-of-duty-modern-warfare-3,85,11/7/2011,FALSE,2019-10-22T14:23:02,3.7,4,8,228,1006,647,24,1007,
33,1039,Call of Duty: Modern Warfare 3,2011,11276,call-of-duty-modern-warfare-3,85,11/7/2011,FALSE,2019-10-22T14:23:02,3.7,4,8,228,1006,647,24,1007,
34,2352,Call of Duty: Modern Warfare 3,2011,11276,call-of-duty-modern-warfare-3,85,11/7/2011,FALSE,2019-10-22T14:23:02,3.7,4,8,228,1006,647,24,1007,
35,32,Call of Duty: Black Ops,2010,865,call-of-duty-black-ops,81,11/9/2010,FALSE,2020-09-30T14:39:39,4.01,4,9,209,1183,693,24,1189,Mature
36,41,Call of Duty: Black Ops,2010,865,call-of-duty-black-ops,81,11/9/2010,FALSE,2020-09-30T14:39:39,4.01,4,9,209,1183,693,24,1189,Mature
37,1128,Call of Duty: Black Ops,,865,call-of-duty-black-ops,81,11/9/2010,FALSE,2020-09-30T14:39:39,4.01,4,9,209,1183,693,24,1189,Mature
38,1381,Call of Duty: Black Ops,2010,865,call-of-duty-black-ops,81,11/9/2010,FALSE,2020-09-30T14:39:39,4.01,4,9,209,1183,693,24,1189,Mature
39,3213,Call of Duty: Black Ops,2010,865,call-of-duty-black-ops,81,11/9/2010,FALSE,2020-09-30T14:39:39,4.01,4,9,209,1183,693,24,1189,Mature
40,35,Call of Duty: Black Ops II,2012,14446,cod-black-ops-ii,74,11/13/2012,FALSE,2020-05-08T12:25:25,3.9,4,6,216,889,1026,24,892,Mature
41,36,Call of Duty: Black Ops II,2012,14446,cod-black-ops-ii,74,11/13/2012,FALSE,2020-05-08T12:25:25,3.9,4,6,216,889,1026,24,892,Mature
42,1219,Call of Duty: Black Ops II,2012,14446,cod-black-ops-ii,74,11/13/2012,FALSE,2020-05-08T12:25:25,3.9,4,6,216,889,1026,24,892,Mature
43,4556,Call of Duty: Black Ops II,2012,14446,cod-black-ops-ii,74,11/13/2012,FALSE,2020-05-08T12:25:25,3.9,4,6,216,889,1026,24,892,Mature
44,37,Call of Duty: Modern Warfare 2,2009,4527,modern-warfare-2,86,11/10/2009,FALSE,2019-09-17T03:11:43,4.25,4,25,151,1301,657,24,1304,
45,56,Call of Duty: Modern Warfare 2,2009,4527,modern-warfare-2,86,11/10/2009,FALSE,2019-09-17T03:11:43,4.25,4,25,151,1301,657,24,1304,
46,2349,Call of Duty: Modern Warfare 2,2009,4527,modern-warfare-2,86,11/10/2009,FALSE,2019-09-17T03:11:43,4.25,4,25,151,1301,657,24,1304,
47,39,Grand Theft Auto III,2001,432,grand-theft-auto-iii,93,10/22/2001,FALSE,2020-07-04T11:16:01,4.16,4,1,22,993,456,9,998,Mature
48,16096,Grand Theft Auto III,2002,432,grand-theft-auto-iii,93,10/22/2001,FALSE,2020-07-04T11:16:01,4.16,4,1,22,993,456,9,998,Mature
